id_vivienda;zona;superficie_m2;dormitorios;banos;acceso_carretera;cuarto_invitados;sotano;caldera;aire_acondicionado;parking;piscina;amueblado;precio
0;Windhelm;48.5;3;1;si;no;no;no;no;0;no;no;175000
1;Windhelm;39.1;3;1;no;no;no;no;no;0;no;si;175000
2;Windhelm;40;2;1;si;no;si;no;no;2;no;no;182000
3;Windhelm;39.9;2;1;no;no;no;no;no;1;no;no;185500
4;Windhelm;27;3;1;si;no;no;no;no;0;no;no;189000
5;Windhelm;40;2;1;no;no;no;no;no;0;no;no;213500
5;Windhelm;40;2;1;no;no;no;no;no;0;no;no;213500
6;Windhelm;37.87;4;2;si;no;no;no;no;0;no;si;238000
7;Windhelm;34.75;3;1;si;no;no;no;no;0;no;si;238000
8;Windhelm;46.35;2;1;no;no;no;no;no;0;no;no;240800
9;Windhelm;40;2;1;si;no;no;no;no;1;no;no;245000
10;Windhelm;46;2;1;si;no;no;no;no;0;no;no;259000
11;Windhelm;46;2;2;si;no;si;no;no;1;no;si;259000
12;Windhelm;39.1;2;;no;no;no;no;no;0;no;no;260400
13;Windhelm;50;3;1;si;no;no;no;si;?;no;no;265300
14;Windhelm;41.85;2;1;si;no;no;no;si;?;no;no;265300
15;Windhelm;46.3;3;3;no;si;no;no;no;0;no;no;266000
16;Windhelm;38;3;1;si;no;no;no;no;0;no;no;266000
17;Windhelm;50;2;1;si;no;no;no;no;0;no;no;269500
18;Windhelm;78;2;1;si;no;no;no;no;0;no;no;273000
19;Windhelm;50;3;1;si;no;no;no;no;1;no;no;273000
20;Windhelm;70;2;1;si;no;no;no;no;0;no;semi;287000
21;Windhelm;46.3;2;1;si;no;no;no;no;0;no;no;287000
22;Windhelm;46;3;1;no;no;no;no;no;1;no;no;294000
23;Windhelm;76.15;3;1;si;no;no;no;no;0;no;semi;294000
24;Windhelm;41.5;3;1;no;no;no;no;no;0;no;no;294000
25;Windhelm;40;2;1;si;no;no;no;no;0;no;semi;296100
26;Windhelm;40.9;3;1;no;no;no;no;no;0;no;semi;301000
27;Windhelm;42.4;3;1;si;no;no;no;no;2;no;semi;301000
28;Windhelm;38.35;2;1;si;no;no;no;no;0;no;semi;301000
29;Windhelm;47.5;3;1;si;no;no;no;no;0;no;no;301000
30;Windhelm;48;2;1;si;no;no;no;no;0;no;no;304500
31;Windhelm;55;2;1;si;no;no;si;no;1;no;semi;308000
32;Windhelm;40;3;1;no;no;no;no;si;0;no;no;311500
33;Windhelm;45;2;1;si;no;no;no;no;0;no;no;311500
34;Windhelm;55;3;1;si;no;no;no;si;0;no;no;314300
35;Windhelm;49.86;2;2;no;si;si;no;no;1;no;no;315000
36;Windhelm;44.5;3;1;si;no;si;no;no;0;no;semi;315000
37;Windhelm;100;3;1;si;no;no;no;no;2;no;semi;315000
38;Windhelm;41.2;3;1;no;no;no;no;no;0;no;si;322000
39;Windhelm;70.6;3;1;si;si;si;no;no;0;no;si;329000
40;Windhelm;50.4;2;1;si;no;no;no;no;0;no;no;329000
41;Windhelm;68.8;3;1;si;no;no;no;no;1;no;no;329000
42;Windhelm;44.8;4;1;no;no;no;no;no;1;no;semi;329000
43;Windhelm;50.4;2;1;si;no;no;no;no;1;no;no;332500
44;Windhelm;31.45;3;1;si;no;si;no;no;0;si;si;333200
45;Windhelm;57.5;2;1;si;no;no;no;no;0;no;no;336000
46;Windhelm;41.85;2;1;si;no;si;no;no;2;no;si;336000
47;Windhelm;50;2;1;si;no;no;no;no;0;no;no;343000
48;Windhelm;84.24;3;1;no;no;no;no;no;0;no;no;350000
49;Windhelm;44.8;3;;no;no;no;no;si;0;no;no;350000
50;Windhelm;46;6;1;si;no;no;no;no;1;no;no;350000
51;Windhelm;69;2;1;si;no;no;no;no;1;no;si;350000
52;Windhelm;41.2;3;1;si;no;no;no;no;1;no;no;350000
53;Windhelm;83.5;2;;si;no;no;no;no;1;no;semi;350000
54;Windhelm;52.4;3;1;si;no;no;no;si;0;no;semi;350000
55;Windhelm;31.35;3;2;no;no;no;no;no;0;no;no;350000
56;Windhelm;41.5;3;1;si;no;si;no;no;0;no;si;357000
57;Windhelm;55;2;1;si;no;no;no;no;0;no;semi;360500
58;Windhelm;52.8;2;1;si;no;no;no;si;2;no;semi;364000
59;Windhelm;51.3;3;2;si;no;no;no;no;2;no;semi;364000
60;Windhelm;32.75;3;1;si;no;no;si;si;0;si;semi;364000
61;Windhelm;40;2;1;si;no;no;no;si;0;no;si;364000
62;Windhelm;66.4;2;1;no;no;no;no;no;0;no;semi;367500
63;Windhelm;46;2;1;si;no;no;no;no;0;no;si;367500
64;Windhelm;64.5;2;1;si;no;no;no;no;0;no;si;370300
65;Windhelm;50.5;2;1;si;no;no;no;no;0;no;si;371000
65;Windhelm;50.5;2;1;si;no;no;no;no;0;no;si;371000
66;Windhelm;41.8;2;2;si;no;si;no;no;2;no;semi;385000
67;Windhelm;48.5;2;1;si;no;no;no;no;0;no;semi;385000
68;Windhelm;47.8;2;1;si;si;si;no;no;0;no;semi;388500
69;Windhelm;41.8;4;2;si;no;no;no;no;0;no;si;388500
70;Windhelm;82.6;3;2;si;si;si;no;no;3;no;si;392000
71;Windhelm;65;4;1;si;si;si;no;no;0;no;semi;392000
72;Windhelm;90.8;3;1;si;no;no;no;si;2;no;semi;392000
73;Windhelm;74.8;3;1;no;no;no;no;si;1;no;semi;399000
74;Windhelm;40;4;1;si;no;si;no;si;2;no;semi;406000
75;Windhelm;50.4;2;1;si;no;no;no;no;1;no;semi;409500
76;Windhelm;46;3;1;si;no;si;no;si;0;si;si;409850
77;Windhelm;58.4;3;1;si;no;no;no;no;1;no;semi;416500
78;Windhelm;50.8;3;1;si;no;no;no;no;2;no;semi;416500
79;Windhelm;92.5;3;1;si;no;si;no;no;3;no;semi;419300
